,year,agency_code,career_cluster,num_concentrators,description
129,2019,410311,BMA,,Business Management and Administration
130,2019,410311,FINA,,Finance
131,2019,410311,HOSP,,Hospitality and Tourism
132,2019,410311,INFO,,Information Technology
133,2019,410311,MRKT,,Marketing Sales & Services
134,2019,410316,AAVC,,"Arts, Audio/Video Techn and Comm"
135,2019,410316,BMA,,Business Management and Administration
136,2019,410316,EDUC,,Education and Training
137,2019,410316,FINA,,Finance
138,2019,410316,HOSP,,Hospitality and Tourism
139,2019,410316,HUMA,,Human Services
140,2019,410316,INFO,,Information Technology
141,2019,410316,MRKT,,Marketing Sales & Services
142,2019,410316,STEM,,"Science, Tech, Engineering and Math"
143,2019,200308,AAVC,,"Arts, Audio/Video Techn and Comm"
144,2019,200308,AGNR,1.0,Agricultural & Natural Resources Tech
145,2019,200308,ARCH,,Architecture and Construction
146,2019,200308,BMA,,Business Management and Administration
147,2019,200308,EDUC,,Education and Training
148,2019,200308,FINA,,Finance
149,2019,200308,HLTH,11.0,Health Science
150,2019,200308,HOSP,10.0,Hospitality and Tourism
151,2019,200308,HUMA,1.0,Human Services
152,2019,200308,INFO,1.0,Information Technology
153,2019,200308,LAW,7.0,"Law, Public Safety, Corrections and Security"
154,2019,200308,MANU,,Manufacturing
155,2019,200308,STEM,1.0,"Science, Tech, Engineering and Math"
156,2019,200308,TRAN,,"Transportation, Distribution & Logistics"
157,2019,200310,INFO,,Information Technology
158,2019,260336,INFO,,Information Technology
159,2019,40305,BMA,,Business Management and Administration
160,2019,40305,FINA,,Finance
161,2019,40305,HOSP,,Hospitality and Tourism
162,2019,40305,LAW,,"Law, Public Safety, Corrections and Security"
163,2019,40304,BMA,,Business Management and Administration
164,2019,40304,FINA,,Finance
165,2019,40304,HUMA,,Human Services
166,2019,40304,INFO,,Information Technology
167,2019,40304,LAW,,"Law, Public Safety, Corrections and Security"
168,2019,40304,MANU,,Manufacturing
169,2019,40306,AAVC,,"Arts, Audio/Video Techn and Comm"
170,2019,40306,AGNR,,Agricultural & Natural Resources Tech
171,2019,40306,ARCH,,Architecture and Construction
172,2019,40306,BMA,,Business Management and Administration
173,2019,40306,FINA,,Finance
174,2019,40306,HLTH,,Health Science
175,2019,40306,HOSP,,Hospitality and Tourism
176,2019,40306,HUMA,,Human Services
177,2019,40306,INFO,,Information Technology
178,2019,40306,LAW,,"Law, Public Safety, Corrections and Security"
179,2019,40306,MANU,,Manufacturing
180,2019,40306,MRKT,,Marketing Sales & Services
181,2019,40306,STEM,,"Science, Tech, Engineering and Math"
182,2019,40306,TRAN,,"Transportation, Distribution & Logistics"
183,2019,40309,BMA,,Business Management and Administration
184,2019,40309,CD,,Career Development
185,2019,40309,FINA,,Finance
186,2019,40309,HOSP,,Hospitality and Tourism
187,2019,40309,INFO,,Information Technology
188,2019,40309,MRKT,,Marketing Sales & Services
189,2019,920317,AAVC,10.0,"Arts, Audio/Video Techn and Comm"
190,2019,920317,AGNR,12.0,Agricultural & Natural Resources Tech
191,2019,920317,ARCH,3.0,Architecture and Construction
192,2019,920317,BMA,44.0,Business Management and Administration
193,2019,920317,EDUC,,Education and Training
194,2019,920317,FINA,,Finance
195,2019,920317,HLTH,41.0,Health Science
196,2019,920317,HOSP,20.0,Hospitality and Tourism
197,2019,920317,HUMA,1.0,Human Services
198,2019,920317,INFO,36.0,Information Technology
199,2019,920317,LAW,,"Law, Public Safety, Corrections and Security"
200,2019,920317,MANU,6.0,Manufacturing
