,year,agency_code,career_cluster,num_concentrators
222,2019,920316,INFO,98.0
223,2019,920316,LAW,
224,2019,920316,MANU,
225,2019,920316,MRKT,15.0
226,2019,920316,STEM,1.0
227,2019,920316,TRAN,5.0
228,2019,920312,AAVC,
229,2019,920312,BMA,
230,2019,920312,CD,
231,2019,920312,EDUC,
232,2019,920312,FINA,
233,2019,920312,HOSP,
234,2019,920312,HUMA,
235,2019,920312,INFO,
236,2019,920312,MRKT,
237,2019,920312,STEM,
238,2019,450301,AAVC,
239,2019,450301,CD,
240,2019,450301,EDUC,
241,2019,450301,HUMA,
242,2019,450301,INFO,
243,2019,760378,AAVC,
244,2019,760378,AGNR,
245,2019,760378,EDUC,
246,2019,760378,HUMA,
247,2019,760378,INFO,
248,2019,510364,AAVC,
249,2019,510364,AGNR,
250,2019,510364,EDUC,
251,2019,510364,HLTH,
252,2019,510364,HUMA,
253,2019,510364,INFO,
254,2019,600302,AAVC,6.0
255,2019,600302,AGNR,
256,2019,600302,ARCH,23.0
257,2019,600302,BMA,3.0
258,2019,600302,FINA,
259,2019,600302,HLTH,7.0
260,2019,600302,HOSP,111.0
261,2019,600302,HUMA,
262,2019,600302,INFO,4.0
263,2019,600302,LAW,
264,2019,600302,MANU,
265,2019,600302,MRKT,3.0
266,2019,600302,STEM,13.0
267,2019,600302,TRAN,
268,2019,550308,AGNR,
269,2019,550308,ARCH,
270,2019,550308,CD,
271,2019,550308,FINA,
272,2019,550308,HOSP,
273,2019,550308,HUMA,
274,2019,550308,LAW,
275,2019,360310,AAVC,
276,2019,360310,AGNR,54.0
277,2019,360310,ARCH,37.0
278,2019,360310,BMA,27.0
279,2019,360310,FINA,1.0
280,2019,360310,HLTH,21.0
281,2019,360310,HOSP,52.0
282,2019,360310,HUMA,
283,2019,360310,INFO,14.0
284,2019,360310,LAW,
285,2019,360310,MANU,
286,2019,360310,MRKT,12.0
287,2019,360310,TRAN,
288,2019,50303,EDUC,
289,2019,50302,AAVC,
290,2019,50302,AGNR,
291,2019,50302,ARCH,
292,2019,50302,BMA,
293,2019,50302,EDUC,
294,2019,50302,FINA,
295,2019,50302,HLTH,
296,2019,50302,HOSP,
297,2019,50302,HUMA,
298,2019,50302,INFO,
299,2019,50302,LAW,
300,2019,50302,MANU,
301,2019,50302,MRKT,
302,2019,50302,STEM,
303,2019,50302,TRAN,
304,2019,50305,AGNR,
305,2019,50305,CD,
306,2019,50305,STEM,
307,2019,761304,AAVC,21.0
308,2019,761304,AGNR,18.0
309,2019,761304,ARCH,2.0
310,2019,761304,BMA,6.0
311,2019,761304,EDUC,
312,2019,761304,FINA,2.0
313,2019,761304,HLTH,50.0
314,2019,761304,HOSP,23.0
315,2019,761304,HUMA,6.0
316,2019,761304,INFO,11.0
317,2019,761304,LAW,6.0
318,2019,761304,MANU,8.0
319,2019,761304,MRKT,7.0
320,2019,761304,STEM,21.0
321,2019,761304,TRAN,9.0
322,2019,111302,AAVC,6.0
323,2019,111302,AGNR,5.0
324,2019,111302,ARCH,
325,2019,111302,BMA,4.0
326,2019,111302,EDUC,
327,2019,111302,FINA,
328,2019,111302,HLTH,11.0
329,2019,111302,HOSP,7.0
330,2019,111302,HUMA,14.0
331,2019,111302,INFO,4.0
332,2019,111302,LAW,8.0
333,2019,111302,MANU,11.0
334,2019,111302,MRKT,2.0
335,2019,111302,STEM,
336,2019,111302,TRAN,
337,2019,111356,AAVC,
338,2019,111356,CD,
339,2019,111356,EDUC,
340,2019,111356,HUMA,
341,2019,111356,STEM,
342,2019,770342,BMA,2.0
343,2019,770342,FINA,
344,2019,770342,MANU,
345,2019,770342,MRKT,
346,2019,600311,CD,
347,2019,600311,STEM,
348,2019,920318,AAVC,17.0
349,2019,920318,AGNR,15.0
350,2019,920318,ARCH,19.0
351,2019,920318,BMA,16.0
352,2019,920318,EDUC,
353,2019,920318,FINA,1.0
354,2019,920318,HLTH,60.0
355,2019,920318,HOSP,22.0
356,2019,920318,HUMA,4.0
357,2019,920318,INFO,15.0
358,2019,920318,LAW,2.0
359,2019,920318,MANU,4.0
360,2019,920318,MRKT,5.0
361,2019,920318,STEM,26.0
362,2019,920318,TRAN,
363,2019,340311,AAVC,71.0
364,2019,340311,AGNR,
365,2019,340311,ARCH,1.0
366,2019,340311,BMA,
367,2019,340311,EDUC,
368,2019,340311,FINA,
369,2019,340311,HLTH,77.0
370,2019,340311,HOSP,1.0
371,2019,340311,HUMA,4.0
372,2019,340311,INFO,1.0
373,2019,340311,LAW,
374,2019,340311,MANU,
375,2019,340311,MRKT,
376,2019,340311,STEM,71.0
377,2019,340311,TRAN,3.0
378,2019,60302,AAVC,
379,2019,60302,AGNR,
380,2019,60302,ARCH,
381,2019,60302,BMA,
382,2019,60302,EDUC,
383,2019,60302,FINA,
384,2019,60302,HLTH,
385,2019,60302,HOSP,
386,2019,60302,HUMA,
387,2019,60302,INFO,
388,2019,60302,LAW,
389,2019,60302,MANU,
390,2019,60302,MRKT,
391,2019,60302,STEM,
392,2019,60302,TRAN,
393,2019,60318,AGNR,
394,2019,60318,BMA,
395,2019,60318,FINA,
396,2019,60318,HOSP,
397,2019,60318,INFO,
398,2019,60318,MRKT,
399,2019,60318,STEM,
400,2019,740308,CD,
401,2019,740308,INFO,
402,2019,740308,STEM,
403,2019,740309,AGNR,52.0
404,2019,740309,ARCH,9.0
405,2019,740309,BMA,7.0
406,2019,740309,FINA,
407,2019,740309,HLTH,32.0
408,2019,740309,HOSP,25.0
409,2019,740309,HUMA,
410,2019,740309,INFO,8.0
411,2019,740309,LAW,
412,2019,740309,MANU,
413,2019,740309,MRKT,1.0
414,2019,740309,TRAN,13.0
415,2019,70310,AGNR,
416,2019,70310,ARCH,
417,2019,70310,BMA,
418,2019,70310,FINA,
419,2019,70310,HOSP,
420,2019,70310,HUMA,
421,2019,310304,CD,
422,2019,310304,INFO,
423,2019,310304,STEM,
424,2019,600313,BMA,
425,2019,600313,CD,
426,2019,600313,FINA,
427,2019,600313,HOSP,
428,2019,600313,INFO,
429,2019,600313,MRKT,
430,2019,600313,STEM,
431,2019,180308,AAVC,1.0
432,2019,180308,AGNR,62.0
433,2019,180308,ARCH,2.0
434,2019,180308,BMA,7.0
435,2019,180308,EDUC,
436,2019,180308,FINA,
437,2019,180308,HLTH,15.0
438,2019,180308,HOSP,32.0
439,2019,180308,HUMA,3.0
440,2019,180308,INFO,5.0
441,2019,180308,LAW,
442,2019,180308,MANU,7.0
443,2019,180308,MRKT,3.0
444,2019,180308,STEM,4.0
445,2019,180308,TRAN,
446,2019,170316,AAVC,
447,2019,170316,AGNR,39.0
448,2019,170316,ARCH,2.0
449,2019,170316,BMA,17.0
450,2019,170316,EDUC,
451,2019,170316,FINA,
452,2019,170316,HLTH,21.0
453,2019,170316,HOSP,12.0
454,2019,170316,HUMA,5.0
455,2019,170316,INFO,
456,2019,170316,LAW,12.0
457,2019,170316,MANU,30.0
458,2019,170316,MRKT,2.0
459,2019,170316,STEM,
460,2019,170316,TRAN,23.0
461,2019,70308,CD,
462,2019,70308,INFO,
463,2019,70311,ARCH,
464,2019,70311,BMA,
465,2019,70311,EDUC,
466,2019,70311,FINA,
467,2019,70311,HLTH,
468,2019,70311,HUMA,
469,2019,70311,INFO,
470,2019,70311,LAW,
471,2019,70311,MANU,
472,2019,70311,MRKT,
473,2019,70311,STEM,
474,2019,70311,TRAN,
475,2019,160310,STEM,
476,2019,980318,AAVC,
477,2019,980318,AGNR,17.0
478,2019,980318,ARCH,8.0
479,2019,980318,BMA,2.0
480,2019,980318,EDUC,
481,2019,980318,FINA,
482,2019,980318,HLTH,21.0
483,2019,980318,HOSP,12.0
484,2019,980318,HUMA,6.0
485,2019,980318,INFO,4.0
486,2019,980318,LAW,7.0
487,2019,980318,MANU,
488,2019,980318,MRKT,
489,2019,980318,STEM,
490,2019,980318,TRAN,6.0
491,2019,360324,BMA,
492,2019,360324,FINA,
493,2019,360324,HOSP,
494,2019,360324,INFO,
495,2019,360324,MRKT,
496,2019,410544,AAVC,17.0
497,2019,410544,AGNR,1.0
498,2019,410544,ARCH,
499,2019,410544,BMA,14.0
500,2019,410544,FINA,
501,2019,410544,HOSP,19.0
502,2019,410544,HUMA,33.0
503,2019,410544,INFO,18.0
504,2019,410544,MANU,1.0
505,2019,410544,MRKT,10.0
506,2019,410544,TRAN,4.0
507,2019,190304,INFO,
508,2019,510310,AGNR,
509,2019,510310,INFO,
510,2019,510310,STEM,
511,2019,600319,BMA,
512,2019,600319,CD,
513,2019,600319,FINA,
514,2019,600319,HOSP,
515,2019,600319,INFO,
516,2019,600319,MRKT,
517,2019,80311,AGNR,
518,2019,80311,BMA,
519,2019,80311,FINA,
520,2019,80311,HLTH,
521,2019,80311,INFO,
522,2019,80311,MANU,
523,2019,80311,MRKT,
524,2019,80312,AAVC,
525,2019,80312,AGNR,
526,2019,80312,ARCH,
527,2019,80312,BMA,
528,2019,80312,FINA,
529,2019,80312,HLTH,
530,2019,80312,HOSP,
531,2019,80312,HUMA,
532,2019,80312,INFO,
533,2019,80312,LAW,
534,2019,80312,MANU,
535,2019,80312,MRKT,
536,2019,80312,STEM,
537,2019,80312,TRAN,
538,2019,80314,CD,
539,2019,80314,INFO,
540,2019,80314,STEM,
541,2019,360336,AAVC,8.0
542,2019,360336,ARCH,38.0
543,2019,360336,BMA,14.0
544,2019,360336,FINA,
545,2019,360336,HLTH,9.0
546,2019,360336,HOSP,
547,2019,360336,HUMA,12.0
548,2019,360336,INFO,23.0
549,2019,360336,MANU,
550,2019,360336,MRKT,1.0
551,2019,360336,STEM,1.0
552,2019,360336,TRAN,
553,2019,360436,BMA,
554,2019,360436,FINA,
555,2019,360436,HOSP,
556,2019,360436,INFO,
557,2019,360436,MRKT,
558,2019,360436,STEM,
559,2019,740320,INFO,
560,2019,950308,BMA,
561,2019,950308,CD,
562,2019,950308,FINA,
563,2019,950308,HOSP,
564,2019,950308,MRKT,
565,2019,950308,STEM,
566,2019,440318,AGNR,
567,2019,440318,CD,
568,2019,310308,CD,
569,2019,310308,INFO,
570,2019,310308,STEM,
571,2019,90376,INFO,
572,2019,90315,INFO,
573,2019,950312,BMA,
574,2019,950312,CD,
575,2019,950312,FINA,
576,2019,950312,HOSP,
577,2019,950312,MRKT,
578,2019,950312,STEM,
579,2019,60334,BMA,
580,2019,60334,FINA,
