year,agency_code,career_cluster,num_concentrators
2017,650326,MRKT,2.0
2017,650326,STEM,12.0
2017,650327,AAVC,35.0
2017,650327,AGNR,2.0
2017,650327,ARCH,26.0
2017,650327,BMA,12.0
2017,650327,HLTH,19.0
2017,650327,HOSP,29.0
2017,650327,HUMA,15.0
2017,650327,INFO,40.0
2017,650327,MRKT,13.0
2017,650327,STEM,25.0
2017,650327,TRAN,1.0
2017,650342,AAVC,27.0
2017,650342,AGNR,22.0
2017,650342,ARCH,26.0
2017,650342,BMA,4.0
2017,650342,HLTH,1.0
2017,650342,HOSP,27.0
2017,650342,HUMA,6.0
2017,650342,INFO,21.0
2017,650342,MANU,6.0
2017,650342,MRKT,3.0
2017,650342,STEM,6.0
2017,650352,AAVC,19.0
2017,650352,AGNR,19.0
2017,650352,BMA,5.0
2017,700319,FINA,20.0
2017,700319,HLTH,3.0
2017,700319,HOSP,47.0
2017,760348,LAW,1.0
2017,760348,MANU,55.0
2017,760348,MRKT,35.0
2017,760348,TRAN,56.0
2017,760354,HUMA,1.0
2017,760354,LAW,2.0
2017,760358,AAVC,3.0
2017,760358,AGNR,59.0
2017,760358,ARCH,82.0
2017,760358,BMA,12.0
2017,760358,HLTH,42.0
2017,760358,HOSP,12.0
2017,760348,INFO,12.0
2017,760358,HUMA,13.0
2017,760358,LAW,2.0
2017,760358,MANU,1.0
2017,760358,STEM,2.0
2017,760358,TRAN,6.0
2017,760380,AGNR,66.0
2017,760380,ARCH,33.0
2017,760380,HLTH,27.0
2017,760380,HOSP,19.0
2017,760380,HUMA,12.0
2017,760380,INFO,12.0
2017,760380,LAW,2.0
2017,760380,TRAN,2.0
2017,760358,INFO,15.0
2017,760348,HUMA,25.0
2017,760348,HOSP,41.0
2017,760348,HLTH,29.0
2017,750318,INFO,4.0
2017,750318,LAW,16.0
2017,750318,MANU,2.0
2017,750318,STEM,7.0
2017,760318,AAVC,16.0
2017,760318,AGNR,57.0
2017,760318,ARCH,35.0
2017,760318,BMA,25.0
2017,760318,FINA,4.0
2017,760318,HLTH,11.0
2017,760318,HUMA,12.0
2017,760318,INFO,28.0
2017,760318,MRKT,6.0
2017,760318,TRAN,3.0
2017,760339,AGNR,84.0
2017,760339,ARCH,37.0
2017,760339,BMA,43.0
2017,760339,FINA,13.0
2017,760339,HLTH,64.0
2017,760339,HOSP,33.0
2017,760339,INFO,29.0
2017,760339,LAW,1.0
2017,760339,STEM,1.0
2017,760339,TRAN,2.0
