Back to Introduction,,,,,,,,,,,,,,,,,
"To find specific information on one or more schools use the filter arrows to select the desired information. District Name includes the 115 district names, charter schools, regional schools, and lab schools. School Name is the name of the school. 

Beginning with the 2022–23 school year, Southside Ashpole has been transferred back to Public Schools of Robeson County from the Innovative School District. Therefore, Southside Ashpole is reported under the Public Schools of Robeson County using school code 295300. Questions regarding Southside Ashpole should be directed to Public Schools of Robeson County. 

",,,,,,"The Achievement Score (80%) and Growth Score (20%) are combined to create the Overall Score.  
AS(.8) + GS(.2) = OS

EVAAS Growth is based on an index value and the index is converted to both the school growth score and status.
The statuses are defined as follows:
Exceeds Growth >= 2.00
Meets Growth 1.99 to -2.00
Does Not Meet Growth < -2.00

The grade scale for reading and mathematics is the same as the School Performance Grade scale.",,,,,,,,,,,
District Name,"School
Code",School Name,State Board Region,Grade Span,Title I Served School,"Reading
Letter
Grade","Reading Overall Score
(OS)","Reading Achievement
Score
(AS)","Reading Growth Score
(GS)",Reading Growth Status,Reading Growth Index,"Mathematics
Letter Grade","Mathematics Overall Score
(OS)","Mathematics Achievement
Score
(AS)","Mathematics Growth Score
(GS)",Mathematics Growth Status,Mathematics Growth Index
Alexander County Schools,020308,Ellendale Elementary,Northwest,0K-05,Y,C,61,58.5,71.5,Met,-1.70,C,61,62.3,57.6,Not Met,-5.40
Alexander County Schools,020310,Alexander Virtual Academy,Northwest,0K-08,,D,48,47.5,,,,F,30,30.0,,,
Alexander County Schools,020316,Hiddenite Elementary,Northwest,PK-05,Y,D,51,45.5,71.8,Met,-1.63,D,48,45.5,57.8,Not Met,-5.28
Alexander County Schools,020320,Stony Point Elementary,Northwest,PK-05,Y,D,54,47.1,80.3,Met,0.13,C,68,66.3,75.0,Met,-0.99
Alexander County Schools,020324,Sugar Loaf Elementary,Northwest,0K-05,Y,C,55,51.9,68.5,Not Met,-2.29,C,61,60.6,61.9,Not Met,-3.62
Alexander County Schools,020328,Taylorsville Elementary,Northwest,PK-05,Y,C,63,60.6,72.9,Met,-1.41,B,72,73.1,65.8,Not Met,-2.84
Alexander County Schools,020330,West Alexander Middle,Northwest,06-08,,C,60,58.0,69.3,Not Met,-2.13,B,71,65.7,90.3,Exceeded,4.21
Alexander County Schools,020332,Wittenburg Elementary,Northwest,PK-05,Y,D,50,45.3,66.7,Not Met,-2.66,C,56,54.7,63.0,Not Met,-3.40
Alleghany County Schools,030308,Glade Creek Elementary,Northwest,PK-08,Y,D,49,41.3,77.7,Met,-0.46,C,66,60.7,88.1,Exceeded,3.24
Alleghany County Schools,030316,Piney Creek Elementary,Northwest,PK-08,Y,D,48,45.1,59.4,Not Met,-4.35,D,53,50.0,66.8,Not Met,-2.64
Alleghany County Schools,030320,Sparta Elementary,Northwest,PK-08,Y,D,49,42.8,74.5,Met,-1.09,D,47,41.7,68.9,Not Met,-2.22
Anson County Schools,040308,Ansonville Elementary,Southwest,0K-05,Y,B,75,71.2,90.0,Exceeded,4.05,B,73,69.9,83.8,Met,1.52
Anson County Schools,040309,Anson Middle,Southwest,06-08,,F,38,32.1,60.7,Not Met,-3.85,F,36,25.1,77.2,Met,-0.56
Anson County Schools,040311,Wadesboro Primary,Southwest,0K-03,Y,F,27,16.4,70.5,Met,-1.89,F,26,26.4,,,
Anson County Schools,040316,Lilesville Elementary,Southwest,0K-05,Y,D,50,42.5,81.0,Met,0.43,D,44,33.3,85.2,Exceeded,2.08
Anson County Schools,040324,Morven Elementary,Southwest,0K-05,Y,F,38,26.7,84.0,Met,1.60,F,34,22.7,81.3,Met,0.55
Anson County Schools,040328,Peachland-Polkton Elem,Southwest,0K-05,Y,C,61,53.5,92.2,Exceeded,5.34,B,80,77.3,91.7,Exceeded,5.06
Anson County Schools,040330,Wadesboro Elementary,Southwest,04-05,Y,F,25,16.3,60.6,Not Met,-3.87,F,18,5.7,68.8,Not Met,-2.23
Ashe County Schools,050305,Ashe County Middle,Northwest,07-08,,C,62,58.9,75.2,Met,-0.96,C,68,63.9,83.2,Met,1.30
Ashe County Schools,050310,Blue Ridge Elementary,Northwest,0K-06,Y,C,62,57.3,82.9,Met,1.16,C,66,60.5,88.5,Exceeded,3.40
Ashe County Schools,050330,Mountain View Elementary,Northwest,PK-06,Y,C,62,55.4,89.9,Exceeded,3.96,B,73,67.0,96.3,Exceeded,7.83
Ashe County Schools,050335,Westwood Elementary,Northwest,0K-06,Y,C,60,54.7,80.5,Met,0.23,C,68,62.8,88.2,Exceeded,3.31
Avery County Schools,060304,Banner Elk Elementary,Northwest,PK-05,Y,B,80,78.9,84.9,Met,1.96,B,81,82.9,73.5,Met,-1.30
Avery County Schools,060310,Cranberry Middle,Northwest,06-08,Y,C,60,55.4,75.9,Met,-0.82,C,68,66.1,77.5,Met,-0.50
Avery County Schools,060316,Crossnore Elementary,Northwest,PK-05,Y,C,66,60.9,85.6,Exceeded,2.24,B,72,67.8,86.3,Exceeded,2.52
Avery County Schools,060318,Avery Middle,Northwest,06-08,Y,D,48,41.6,73.5,Met,-1.29,F,38,34.8,50.0,Not Met,-11.99
Avery County Schools,060322,Freedom Trail Elementary,Northwest,PK-05,Y,C,65,60.2,83.0,Met,1.22,C,68,64.5,84.4,Met,1.77
Avery County Schools,060328,Newland Elementary,Northwest,PK-05,Y,D,49,40.9,80.0,Met,0.01,D,50,40.9,84.6,Met,1.85
Avery County Schools,060332,Riverside Elementary,Northwest,PK-05,Y,D,40,30.2,79.3,Met,-0.13,F,33,32.6,,,
Beaufort County Schools,070308,Bath Elementary,Northeast,0K-08,,C,59,55.0,75.6,Met,-0.87,B,72,71.7,72.2,Met,-1.56
Beaufort County Schools,070325,Chocowinity Middle,Northeast,05-08,Y,D,45,41.6,59.6,Not Met,-4.21,D,54,51.9,60.8,Not Met,-3.83
Beaufort County Schools,070326,Chocowinity Primary,Northeast,PK-04,Y,B,72,68.9,84.1,Met,1.67,B,82,81.4,85.6,Exceeded,2.27
Beaufort County Schools,070327,John C Tayloe Elementary,Northeast,02-03,Y,D,43,32.4,83.2,Met,1.28,D,44,44.4,,,
Beaufort County Schools,070328,John Small Elementary,Northeast,04-05,Y,F,39,34.8,57.0,Not Met,-5.76,D,44,39.6,59.6,Not Met,-4.24
Beaufort County Schools,070329,Northeast Elementary,Northeast,PK-08,Y,D,41,32.9,71.4,Met,-1.72,D,51,44.0,80.0,Met,0.02
Beaufort County Schools,070338,P S Jones Middle,Northeast,06-08,Y,D,43,39.4,59.0,Not Met,-4.56,D,47,39.3,79.1,Met,-0.18
Beaufort County Schools,070340,S W Snowden Elementary,Northeast,PK-08,Y,D,40,33.0,69.2,Not Met,-2.16,F,38,28.0,79.4,Met,-0.12
Bertie County Schools,080314,Bertie Middle,Northeast,06-08,Y,D,46,36.0,84.1,Met,1.67,F,32,21.9,72.4,Met,-1.51
Bertie County Schools,080348,Aulander Elementary,Northeast,PK-05,Y,D,54,46.7,83.7,Met,1.50,C,67,61.7,86.7,Exceeded,2.71
Bertie County Schools,080356,West Bertie Elementary,Northeast,PK-05,Y,D,46,38.0,77.2,Met,-0.56,D,47,38.0,82.3,Met,0.92
Bertie County Schools,080360,Colerain Elementary,Northeast,PK-05,Y,D,46,36.0,84.4,Met,1.76,D,44,34.7,80.9,Met,0.38
Bertie County Schools,080362,Windsor Elementary,Northeast,PK-05,Y,D,47,37.5,86.6,Exceeded,2.67,D,48,37.5,91.6,Exceeded,4.97
Bladen County Schools,090315,Bladenboro Middle,Sandhills,05-08,Y,D,48,39.1,84.2,Met,1.68,D,40,28.9,83.1,Met,1.26
Bladen County Schools,090317,Bladenboro Primary,Sandhills,PK-04,Y,F,38,32.0,60.8,Not Met,-3.83,D,49,40.6,84.2,Met,1.69
Bladen County Schools,090318,Bladen Lakes Primary,Sandhills,PK-04,Y,D,41,33.3,70.3,Met,-1.94,D,44,43.6,,,
Bladen County Schools,090320,Clarkton School of Discovery,Sandhills,05-08,Y,D,54,47.7,81.3,Met,0.55,C,55,46.6,90.1,Exceeded,4.11
Bladen County Schools,090324,Dublin Primary,Sandhills,PK-04,Y,D,43,37.1,68.3,Not Met,-2.33,D,46,38.6,74.6,Met,-1.07
Bladen County Schools,090332,Elizabethtown Middle,Sandhills,05-08,Y,F,32,20.7,78.4,Met,-0.32,F,19,9.1,57.3,Not Met,-5.57
Bladen County Schools,090333,Elizabethtown Primary,Sandhills,PK-04,Y,F,33,26.1,59.4,Not Met,-4.33,F,37,28.5,71.8,Met,-1.64
Bladen County Schools,090352,Plain View Primary,Sandhills,PK-04,Y,D,45,37.3,76.4,Met,-0.71,C,69,68.6,,,
Bladen County Schools,090365,Tar Heel Middle,Sandhills,05-08,Y,F,37,29.3,68.5,Not Met,-2.30,F,39,28.3,80.9,Met,0.39
Brunswick County Schools,100302,Belville Elementary,Southeast,PK-05,Y,C,64,57.6,87.2,Exceeded,2.88,C,57,58.1,52.7,Not Met,-8.37
Brunswick County Schools,100304,Bolivia Elementary,Southeast,PK-05,Y,D,53,49.1,70.2,Met,-1.96,C,58,57.1,59.6,Not Met,-4.21
Brunswick County Schools,100309,Cedar Grove Middle,Southeast,06-08,Y,D,49,42.1,75.4,Met,-0.92,C,58,50.5,90.2,Exceeded,4.16
Brunswick County Schools,100310,Jessie Mae Monroe Elementary,Southeast,0K-05,Y,C,56,49.7,82.9,Met,1.19,C,59,58.3,60.1,Not Met,-3.98
Brunswick County Schools,100316,Leland Middle,Southeast,06-08,Y,D,43,39.9,57.7,Not Met,-5.36,D,46,40.9,64.8,Not Met,-3.04
Brunswick County Schools,100320,Lincoln Elementary,Southeast,0K-05,Y,D,47,41.8,66.3,Not Met,-2.73,C,57,55.2,66.4,Not Met,-2.71
Brunswick County Schools,100332,Shallotte Middle,Southeast,06-08,Y,D,46,44.0,53.8,Not Met,-7.72,D,48,46.9,51.3,Not Met,-9.18
Brunswick County Schools,100335,South Brunswick Middle,Southeast,06-08,Y,C,56,52.0,73.1,Met,-1.38,C,56,53.2,65.5,Not Met,-2.90
Brunswick County Schools,100336,Southport Elementary,Southeast,0K-05,Y,C,67,62.8,82.5,Met,1.01,C,62,63.2,58.1,Not Met,-5.11
Brunswick County Schools,100338,Supply Elementary,Southeast,PK-05,Y,D,53,46.4,78.9,Met,-0.21,C,66,64.9,70.3,Met,-1.94
Brunswick County Schools,100339,Town Creek Elementary,Southeast,0K-05,Y,C,62,59.3,71.9,Met,-1.62,C,65,67.1,58.4,Not Met,-4.96
Brunswick County Schools,100340,Union Elementary,Southeast,0K-05,Y,B,81,80.1,83.1,Met,1.25,A,89,89.8,83.4,Met,1.39
Brunswick County Schools,100341,Town Creek Middle,Southeast,06-08,Y,D,49,47.2,55.8,Not Met,-6.49,D,45,42.0,59.1,Not Met,-4.50
Brunswick County Schools,100342,Virginia Williamson Elem,Southeast,PK-05,Y,C,56,51.7,75.4,Met,-0.91,C,61,64.1,50.8,Not Met,-9.47
Brunswick County Schools,100344,Waccamaw,Southeast,0K-08,Y,C,59,53.3,84.0,Met,1.60,C,69,65.3,84.7,Met,1.90
Buncombe County Schools,110306,Reynolds Middle,Western,06-08,,D,43,39.6,58.8,Not Met,-4.69,D,51,44.2,78.0,Met,-0.40
Buncombe County Schools,110308,Barnardsville Elementary,Western,0K-04,Y,D,52,45.8,78.4,Met,-0.32,C,60,60.4,,,
Buncombe County Schools,110318,Black Mountain Elementary,Western,04-05,Y,C,65,62.9,71.9,Met,-1.62,C,62,60.1,71.5,Met,-1.69
