Back to Introduction,,,,,,,,,,,,,,,,,
"To find specific information on one or more schools use the filter arrows to select the desired information. District Name includes the 115 district names, charter schools, regional schools, and lab schools. School Name is the name of the school. 

Beginning with the 2022–23 school year, Southside Ashpole has been transferred back to Public Schools of Robeson County from the Innovative School District. Therefore, Southside Ashpole is reported under the Public Schools of Robeson County using school code 295300. Questions regarding Southside Ashpole should be directed to Public Schools of Robeson County. 

",,,,,,"The Achievement Score (80%) and Growth Score (20%) are combined to create the Overall Score.  
AS(.8) + GS(.2) = OS

EVAAS Growth is based on an index value and the index is converted to both the school growth score and status.
The statuses are defined as follows:
Exceeds Growth >= 2.00
Meets Growth 1.99 to -2.00
Does Not Meet Growth < -2.00

The grade scale for reading and mathematics is the same as the School Performance Grade scale.",,,,,,,,,,,
District Name,"School
Code",School Name,State Board Region,Grade Span,Title I Served School,"Reading
Letter
Grade","Reading Overall Score
(OS)","Reading Achievement
Score
(AS)","Reading Growth Score
(GS)",Reading Growth Status,Reading Growth Index,"Mathematics
Letter Grade","Mathematics Overall Score
(OS)","Mathematics Achievement
Score
(AS)","Mathematics Growth Score
(GS)",Mathematics Growth Status,Mathematics Growth Index
Davidson County Schools,290351,Oak Grove Middle,Piedmont-Triad,06-08,,C,63,63.4,62.6,Not Met,-3.48,C,66,64.3,72.9,Met,-1.42
Davidson County Schools,290352,Pilot Elementary,Piedmont-Triad,PK-05,Y,D,54,46.8,82.7,Met,1.08,C,55,52.6,66.1,Not Met,-2.78
Davidson County Schools,290356,Reeds Elementary,Piedmont-Triad,PK-05,Y,C,55,47.5,85.8,Exceeded,2.33,D,54,50.0,69.5,Not Met,-2.10
Davidson County Schools,290364,Silver Valley Elementary,Piedmont-Triad,PK-05,Y,F,39,29.0,80.7,Met,0.29,F,34,27.0,61.4,Not Met,-3.71
Davidson County Schools,290366,Southwood Elementary,Piedmont-Triad,PK-05,Y,D,52,44.8,80.1,Met,0.06,C,55,52.8,64.6,Not Met,-3.07
Davidson County Schools,290367,South Davidson Middle,Piedmont-Triad,06-08,Y,F,38,32.3,59.2,Not Met,-4.44,D,43,38.9,59.2,Not Met,-4.47
Davidson County Schools,290375,Tyro Elementary,Piedmont-Triad,PK-05,Y,D,52,44.1,81.3,Met,0.54,D,48,44.7,59.3,Not Met,-4.42
Davidson County Schools,290376,Tyro Middle,Piedmont-Triad,06-08,,D,47,43.6,62.8,Not Met,-3.43,D,54,47.0,82.1,Met,0.85
Davidson County Schools,290380,Wallburg Elementary,Piedmont-Triad,PK-05,,B,73,69.7,88.1,Exceeded,3.24,C,69,73.0,52.0,Not Met,-8.77
Davidson County Schools,290384,Welcome Elementary,Piedmont-Triad,PK-05,Y,D,50,45.2,70.8,Met,-1.83,C,57,55.5,64.3,Not Met,-3.13
Lexington City Schools,291308,Charles England Elementary School,Piedmont-Triad,01-05,Y,D,43,32.3,84.3,Met,1.72,C,55,46.7,88.2,Exceeded,3.28
Lexington City Schools,291332,Lexington Middle School,Piedmont-Triad,06-08,Y,D,46,41.3,65.8,Not Met,-2.83,D,47,37.5,82.9,Met,1.19
Lexington City Schools,291340,Pickett Elementary School,Piedmont-Triad,0K-05,Y,D,43,34.0,76.9,Met,-0.62,D,53,43.3,89.7,Exceeded,3.90
Lexington City Schools,291352,Southwest Elementary Global Academy,Piedmont-Triad,01-05,Y,D,48,41.3,73.1,Met,-1.38,C,57,53.8,70.7,Met,-1.86
Thomasville City Schools,292316,Liberty Drive Elementary,Piedmont-Triad,04-05,Y,F,33,23.8,68.1,Not Met,-2.38,F,29,22.9,54.3,Not Met,-7.38
Thomasville City Schools,292318,Thomasville Primary,Piedmont-Triad,PK-03,Y,F,36,27.9,70.5,Met,-1.89,F,39,38.8,,,
Thomasville City Schools,292320,Thomasville Middle,Piedmont-Triad,06-08,Y,F,38,28.3,74.9,Met,-1.02,F,39,26.9,87.4,Exceeded,2.99
Davie County Schools,300308,Cooleemee Elementary,Piedmont-Triad,PK-05,Y,D,46,37.8,78.8,Met,-0.23,C,60,53.5,85.4,Exceeded,2.19
Davie County Schools,300310,Cornatzer Elementary,Piedmont-Triad,PK-05,Y,C,60,57.6,70.5,Met,-1.89,C,63,63.9,61.4,Not Met,-3.71
Davie County Schools,300316,Davie County Virtual School,Piedmont-Triad,04-08,,C,67,64.3,78.1,Met,-0.37,D,47,41.1,71.8,Met,-1.64
Davie County Schools,300320,Mocksville Elementary,Piedmont-Triad,PK-05,Y,D,47,41.5,68.5,Not Met,-2.30,D,47,44.0,58.9,Not Met,-4.62
Davie County Schools,300325,North Davie Middle,Piedmont-Triad,06-08,,C,59,55.3,74.0,Met,-1.19,B,72,66.9,91.5,Exceeded,4.92
Davie County Schools,300326,Pinebrook Elementary,Piedmont-Triad,PK-05,Y,C,55,53.0,65.2,Not Met,-2.95,C,61,60.6,60.5,Not Met,-3.90
Davie County Schools,300328,Shady Grove Elementary,Piedmont-Triad,PK-05,,C,67,67.7,66.5,Not Met,-2.70,B,81,78.2,92.7,Exceeded,5.65
Davie County Schools,300330,South Davie Middle,Piedmont-Triad,06-08,,D,42,35.9,65.7,Not Met,-2.86,D,47,43.8,58.6,Not Met,-4.81
Davie County Schools,300336,William R Davie Elementary,Piedmont-Triad,PK-05,Y,C,59,53.8,81.7,Met,0.69,C,63,62.2,63.9,Not Met,-3.22
Davie County Schools,300337,William Ellis Middle,Piedmont-Triad,06-08,,C,66,61.9,82.6,Met,1.07,C,68,63.7,83.7,Met,1.51
Duplin County Schools,310304,B F Grady Elementary,Southeast,PK-08,Y,D,41,31.5,78.8,Met,-0.24,D,51,41.1,90.5,Exceeded,4.35
Duplin County Schools,310308,Beulaville Elementary,Southeast,PK-08,Y,D,47,39.7,75.6,Met,-0.87,D,44,38.7,67.5,Not Met,-2.50
Duplin County Schools,310330,Chinquapin Elementary,Southeast,PK-08,Y,C,56,49.7,81.1,Met,0.46,C,61,53.5,91.2,Exceeded,4.77
Duplin County Schools,310336,Warsaw Elementary,Southeast,PK-08,Y,F,36,27.1,69.9,Not Met,-2.02,D,40,26.9,90.5,Exceeded,4.33
Duplin County Schools,310356,Kenansville Elementary,Southeast,0K-08,Y,D,50,41.2,87.3,Exceeded,2.94,C,55,46.8,86.0,Exceeded,2.43
Duplin County Schools,310360,North Duplin Elementary,Southeast,PK-06,Y,D,52,42.9,88.7,Exceeded,3.50,C,55,48.4,79.3,Met,-0.14
Duplin County Schools,310364,North Duplin Jr Sr High,Southeast,07-12,Y,D,44,38.5,65.1,Not Met,-2.98,D,46,36.2,86.2,Exceeded,2.51
Duplin County Schools,310384,Rose Hill-Magnolia Elementary,Southeast,PK-08,Y,F,34,23.6,76.7,Met,-0.66,F,35,25.3,73.9,Met,-1.21
Duplin County Schools,310388,Wallace Elementary,Southeast,PK-08,Y,D,40,28.7,85.3,Exceeded,2.12,F,35,23.1,84.1,Met,1.65
Durham Public Schools,320304,Bethesda Elementary,North Central,PK-05,Y,F,36,25.1,79.3,Met,-0.13,D,46,34.6,90.5,Exceeded,4.30
Durham Public Schools,320306,Brogden Middle,North Central,06-08,Y,D,42,31.1,84.1,Met,1.66,F,39,26.5,88.9,Exceeded,3.58
Durham Public Schools,320308,Burton Elementary,North Central,PK-05,Y,D,54,46.5,81.8,Met,0.73,C,68,63.2,86.3,Exceeded,2.55
Durham Public Schools,320310,Eastway Elementary,North Central,PK-05,Y,F,34,21.7,82.2,Met,0.90,D,50,39.1,92.3,Exceeded,5.40
Durham Public Schools,320313,Easley Elementary,North Central,0K-05,,B,74,71.4,85.6,Exceeded,2.25,B,71,69.5,76.2,Met,-0.75
Durham Public Schools,320314,The School for Creative Studies,North Central,06-12,,D,53,45.0,83.5,Met,1.43,F,35,27.1,65.4,Not Met,-2.92
Durham Public Schools,320315,Eno Valley Elementary,North Central,PK-05,Y,D,46,36.4,84.8,Met,1.93,D,49,39.2,88.7,Exceeded,3.51
Durham Public Schools,320316,George L Carrington Middle,North Central,06-08,Y,D,46,36.1,87.7,Exceeded,3.09,D,50,37.8,99.3,Exceeded,9.62
Durham Public Schools,320318,Club Boulevard Elementary,North Central,0K-05,Y,C,57,50.8,80.0,Met,0.03,C,60,52.3,89.4,Exceeded,3.78
Durham Public Schools,320319,Creekside Elementary,North Central,0K-05,Y,D,51,42.6,85.1,Exceeded,2.04,D,50,41.9,82.0,Met,0.81
Durham Public Schools,320320,Glenn Elementary,North Central,0K-05,Y,F,39,27.2,85.3,Exceeded,2.14,D,52,43.2,86.3,Exceeded,2.54
Durham Public Schools,320323,Durham School of the Arts,North Central,06-12,,B,73,69.2,90.0,Exceeded,4.02,B,76,69.8,100.0,Exceeded,15.16
Durham Public Schools,320324,Hillandale Elementary,North Central,PK-05,Y,D,42,34.0,74.3,Met,-1.14,D,49,40.0,85.3,Exceeded,2.14
Durham Public Schools,320327,Hope Valley Elementary,North Central,0K-05,Y,D,50,42.2,79.2,Met,-0.16,C,57,48.7,90.6,Exceeded,4.38
Durham Public Schools,320328,Holt Elementary,North Central,PK-05,Y,D,44,34.5,82.5,Met,1.00,D,45,33.8,91.5,Exceeded,4.93
Durham Public Schools,320332,Forest View Elementary,North Central,0K-05,Y,D,52,45.1,78.1,Met,-0.37,C,58,50.2,88.6,Exceeded,3.47
Durham Public Schools,320338,James E Shepard Middle,North Central,06-08,Y,C,55,45.8,93.7,Exceeded,6.22,D,54,42.7,100.0,Exceeded,10.65
Durham Public Schools,320339,Lakewood Elementary,North Central,PK-05,Y,F,31,21.8,67.0,Not Met,-2.59,D,43,32.4,87.4,Exceeded,2.97
Durham Public Schools,320340,Little River K-8 School,North Central,PK-08,Y,D,52,44.4,80.3,Met,0.15,C,57,48.5,88.8,Exceeded,3.55
Durham Public Schools,320342,Lakewood Montessori Middle,North Central,06-08,,B,81,78.0,92.2,Exceeded,5.35,B,75,71.4,87.6,Exceeded,3.07
Durham Public Schools,320343,Lucas Middle,North Central,06-08,Y,D,46,37.1,83.4,Met,1.36,D,40,29.1,84.0,Met,1.61
Durham Public Schools,320344,Fayetteville Street Elementary,North Central,PK-05,Y,F,32,20.8,76.5,Met,-0.69,D,46,35.4,88.3,Exceeded,3.34
Durham Public Schools,320346,Lowe's Grove Middle,North Central,06-08,Y,D,45,34.1,89.2,Exceeded,3.69,F,33,19.7,85.8,Exceeded,2.34
Durham Public Schools,320347,George Watts Elementary,North Central,PK-05,Y,B,75,72.7,82.2,Met,0.90,B,73,69.2,87.2,Exceeded,2.90
Durham Public Schools,320348,Mangum Elementary,North Central,PK-05,,C,64,57.6,88.1,Exceeded,3.27,C,68,61.8,90.8,Exceeded,4.51
Durham Public Schools,320352,Merrick-Moore Elementary,North Central,PK-05,Y,D,45,34.3,89.0,Exceeded,3.63,D,51,40.7,93.6,Exceeded,6.17
Durham Public Schools,320354,Morehead Montessori,North Central,PK-05,,B,70,68.3,77.0,Met,-0.59,C,62,58.4,74.1,Met,-1.17
Durham Public Schools,320355,Neal Middle,North Central,06-08,Y,F,39,27.6,83.6,Met,1.47,F,28,16.0,77.5,Met,-0.50
Durham Public Schools,320360,Oak Grove Elementary,North Central,PK-05,Y,D,43,33.3,80.9,Met,0.39,D,53,42.4,96.8,Exceeded,8.12
Durham Public Schools,320362,Parkwood Elementary,North Central,PK-05,Y,D,42,32.9,80.0,Met,0.00,D,45,35.1,86.9,Exceeded,2.77
Durham Public Schools,320363,E K Powe Elementary,North Central,PK-05,Y,D,54,49.2,75.0,Met,-0.99,C,57,49.5,87.3,Exceeded,2.94
Durham Public Schools,320364,Pearsontown Elementary,North Central,PK-05,,B,83,80.5,91.3,Exceeded,4.79,B,83,79.8,96.5,Exceeded,7.94
Durham Public Schools,320366,Sherwood Githens Middle,North Central,06-08,Y,C,59,50.3,91.3,Exceeded,4.82,C,56,46.0,94.4,Exceeded,6.69
Durham Public Schools,320367,R N Harris Elementary,North Central,PK-05,Y,D,52,43.8,85.8,Exceeded,2.34,C,63,55.7,94.4,Exceeded,6.67
Durham Public Schools,320369,Sandy Ridge Elementary,North Central,PK-05,Y,D,50,40.1,88.2,Exceeded,3.31,C,56,47.3,90.9,Exceeded,4.59
Durham Public Schools,320370,Rogers-Herr Middle,North Central,06-08,,B,73,66.8,95.3,Exceeded,7.23,C,69,61.7,96.5,Exceeded,7.93
Durham Public Schools,320372,Southwest Elementary,North Central,PK-05,Y,C,57,50.0,85.3,Exceeded,2.12,C,58,49.3,93.7,Exceeded,6.23
Durham Public Schools,320374,C C Spaulding Elementary,North Central,PK-05,Y,F,26,14.4,72.2,Met,-1.55,F,27,14.3,75.4,Met,-0.92
Durham Public Schools,320376,Spring Valley Elementary,North Central,PK-05,Y,D,53,45.0,85.6,Exceeded,2.27,C,56,46.4,92.8,Exceeded,5.69
Durham Public Schools,320388,W G Pearson Elementary,North Central,PK-05,Y,D,41,30.9,80.1,Met,0.04,D,41,30.4,83.7,Met,1.50
Durham Public Schools,320400,Y E Smith Elementary,North Central,PK-05,Y,F,33,21.9,75.8,Met,-0.84,F,38,26.3,84.9,Met,1.97
Durham Public Schools,320401,Ignite Online Academy,North Central,0K-12,,D,48,40.0,79.4,Met,-0.12,F,26,17.6,57.7,Not Met,-5.33
Edgecombe County Public School,330304,G W Bulluck Elementary,North Central,PK-05,Y,F,31,25.0,57.1,Not Met,-5.71,F,31,24.0,58.4,Not Met,-4.92
Edgecombe County Public School,330308,G W Carver Elementary,North Central,PK-05,Y,D,47,40.0,73.8,Met,-1.24,C,65,63.3,72.3,Met,-1.53
Edgecombe County Public School,330312,Coker-Wimberly Elementary,North Central,PK-05,Y,F,39,27.9,81.3,Met,0.52,F,33,23.1,72.7,Met,-1.46
Edgecombe County Public School,330332,Phillips Middle,North Central,06-08,Y,F,37,25.8,81.6,Met,0.67,D,44,32.3,92.3,Exceeded,5.41
Edgecombe County Public School,330334,Princeville Elementary,North Central,PK-05,Y,D,40,31.0,73.7,Met,-1.26,F,33,24.8,65.5,Not Met,-2.89
Edgecombe County Public School,330340,South Edgecombe Middle,North Central,06-08,,D,45,35.8,80.3,Met,0.13,D,46,36.9,83.2,Met,1.29
Edgecombe County Public School,330344,W A Pattillo Middle,North Central,06-08,Y,F,28,17.5,67.9,Not Met,-2.41,F,22,13.1,57.5,Not Met,-5.45
Edgecombe County Public School,330348,West Edgecombe Middle,North Central,06-08,Y,D,43,34.3,78.8,Met,-0.23,F,34,24.5,74.2,Met,-1.15
Edgecombe County Public School,330354,Stocks Elementary,North Central,PK-05,Y,F,33,24.3,66.3,Not Met,-2.74,F,37,28.4,73.1,Met,-1.37
Edgecombe County Public School,330360,Martin Millennium Academy,North Central,0K-08,Y,F,39,29.8,77.6,Met,-0.47,F,30,20.0,70.5,Met,-1.90
Forsyth County Schools,340308,Ashley Academy,Piedmont-Triad,PK-05,Y,F,26,12.7,81.4,Met,0.56,F,32,18.5,83.6,Met,1.45
Forsyth County Schools,340314,Bolton Elementary,Piedmont-Triad,PK-05,Y,F,37,27.0,77.3,Met,-0.54,D,45,35.4,85.6,Exceeded,2.27
Forsyth County Schools,340320,Brunson Elementary,Piedmont-Triad,PK-05,Y,D,50,44.9,67.9,Not Met,-2.41,D,54,44.5,89.6,Exceeded,3.86
Forsyth County Schools,340326,Caleb's Creek Elementary,Piedmont-Triad,PK-05,,D,47,42.1,68.4,Not Met,-2.32,D,54,47.3,81.5,Met,0.63
Forsyth County Schools,340334,Cash Elementary,Piedmont-Triad,PK-05,Y,C,58,50.9,84.0,Met,1.61,D,53,45.9,81.3,Met,0.54
Forsyth County Schools,340348,Clemmons Elementary,Piedmont-Triad,PK-05,,C,67,63.5,80.2,Met,0.11,B,76,74.1,85.4,Exceeded,2.19
Forsyth County Schools,340350,Clemmons Middle School,Piedmont-Triad,06-08,,C,61,53.4,90.2,Exceeded,4.14,C,64,55.8,97.7,Exceeded,8.65
Forsyth County Schools,340351,Cook Literacy Model School,Piedmont-Triad,PK-05,Y,F,31,17.3,85.9,Exceeded,2.37,F,39,26.6,89.6,Exceeded,3.87
Forsyth County Schools,340354,The Downtown School,Piedmont-Triad,PK-08,,C,69,66.9,77.7,Met,-0.45,B,74,69.4,92.2,Exceeded,5.33
Forsyth County Schools,340366,East Forsyth Middle School,Piedmont-Triad,06-08,Y,F,38,26.3,85.2,Exceeded,2.10,F,34,24.5,69.5,Not Met,-2.09
Forsyth County Schools,340368,Easton Elementary School,Piedmont-Triad,PK-05,Y,F,28,14.8,81.3,Met,0.52,F,38,25.6,88.6,Exceeded,3.44
Forsyth County Schools,340372,Flat Rock Middle,Piedmont-Triad,06-08,Y,F,32,22.5,67.6,Not Met,-2.48,F,29,19.6,64.6,Not Met,-3.07
Forsyth County Schools,340376,Forest Park Elementary,Piedmont-Triad,PK-05,Y,F,23,11.7,67.2,Not Met,-2.55,F,30,17.1,81.4,Met,0.56
Forsyth County Schools,340380,Gibson Elementary,Piedmont-Triad,PK-05,Y,F,38,26.3,84.4,Met,1.78,D,40,25.9,94.4,Exceeded,6.69
Forsyth County Schools,340384,Griffith Elementary,Piedmont-Triad,PK-05,Y,F,38,27.4,82.3,Met,0.94,D,44,32.7,88.8,Exceeded,3.54
Forsyth County Schools,340390,Hall-Woodward Elementary,Piedmont-Triad,PK-05,Y,F,30,19.5,72.6,Met,-1.48,F,30,20.8,68.1,Not Met,-2.37
Forsyth County Schools,340392,Hanes Magnet School,Piedmont-Triad,06-08,,C,63,58.1,84.8,Met,1.93,C,62,57.5,77.8,Met,-0.43
Forsyth County Schools,340398,Virtual Academy,Piedmont-Triad,PK-12,,F,38,30.4,69.1,Not Met,-2.18,F,21,13.6,50.0,Not Met,-12.15
Forsyth County Schools,340400,Ibraham Elementary,Piedmont-Triad,PK-05,Y,F,33,21.0,82.2,Met,0.91,D,45,34.3,88.7,Exceeded,3.49
Forsyth County Schools,340403,Jefferson Elementary,Piedmont-Triad,PK-05,,C,68,64.2,84.8,Met,1.94,B,70,64.6,90.7,Exceeded,4.46
Forsyth County Schools,340406,Thomas Jefferson Middle,Piedmont-Triad,06-08,,C,65,62.1,76.7,Met,-0.65,C,59,56.3,68.8,Not Met,-2.23
Forsyth County Schools,340416,Kernersville Elementary,Piedmont-Triad,PK-05,Y,D,46,36.0,87.0,Exceeded,2.81,D,53,43.6,88.6,Exceeded,3.44
Forsyth County Schools,340420,Kernersville Middle,Piedmont-Triad,06-08,,C,58,49.5,89.7,Exceeded,3.88,C,61,52.9,95.8,Exceeded,7.50
Forsyth County Schools,340424,Kimberley Park Elementary,Piedmont-Triad,PK-05,Y,F,31,20.2,73.5,Met,-1.30,F,24,10.1,77.6,Met,-0.48
Forsyth County Schools,340426,Kimmel Farm Elementary,Piedmont-Triad,PK-05,Y,D,48,39.6,80.4,Met,0.19,D,45,38.0,74.5,Met,-1.10
Forsyth County Schools,340428,Konnoak Elementary,Piedmont-Triad,PK-05,Y,F,35,23.9,80.0,Met,0.00,D,45,34.5,88.7,Exceeded,3.48
Forsyth County Schools,340430,Diggs-Latham Elementary,Piedmont-Triad,PK-05,Y,F,32,19.6,81.0,Met,0.43,D,43,34.9,74.4,Met,-1.11
Forsyth County Schools,340432,Lewisville Elementary,Piedmont-Triad,PK-05,,B,75,72.1,87.3,Exceeded,2.95,A,89,86.8,99.5,Exceeded,9.71
Forsyth County Schools,340434,Lewisville Middle,Piedmont-Triad,06-08,,B,71,66.9,86.0,Exceeded,2.41,C,68,65.3,78.9,Met,-0.22
Forsyth County Schools,340440,Meadowlark Elementary,Piedmont-Triad,PK-05,,C,67,64.9,73.1,Met,-1.38,B,73,68.9,87.2,Exceeded,2.89
Forsyth County Schools,340442,Meadowlark Middle,Piedmont-Triad,06-08,,C,68,63.8,82.4,Met,0.96,B,71,67.3,87.5,Exceeded,3.00
Forsyth County Schools,340448,Mineral Springs Elementary,Piedmont-Triad,PK-05,Y,F,32,19.7,80.5,Met,0.21,F,29,19.9,66.9,Not Met,-2.62
Forsyth County Schools,340452,Mineral Springs Middle,Piedmont-Triad,06-08,Y,F,24,15.9,55.6,Not Met,-6.59,F,16,6.9,52.6,Not Met,-8.43
Forsyth County Schools,340453,Moore Magnet Elementary,Piedmont-Triad,PK-05,Y,D,46,36.7,81.0,Met,0.41,D,50,44.0,74.4,Met,-1.12
Forsyth County Schools,340457,Frank Morgan Elementary,Piedmont-Triad,PK-05,,C,61,54.6,84.9,Met,1.98,B,70,64.5,90.8,Exceeded,4.49
Forsyth County Schools,340462,North Hills Elementary,Piedmont-Triad,PK-05,Y,F,29,19.9,66.6,Not Met,-2.67,F,36,22.3,89.5,Exceeded,3.82
Forsyth County Schools,340464,Northwest Middle,Piedmont-Triad,06-08,Y,F,36,25.4,80.3,Met,0.12,F,32,22.6,69.7,Not Met,-2.05
Forsyth County Schools,340472,Old Richmond Elementary,Piedmont-Triad,PK-05,Y,C,56,49.5,80.2,Met,0.10,B,71,64.9,92.9,Exceeded,5.74
Forsyth County Schools,340476,Old Town Elementary,Piedmont-Triad,PK-05,Y,F,37,25.6,83.9,Met,1.56,D,48,36.5,93.2,Exceeded,5.95
Forsyth County Schools,340480,Paisley IB Magnet School,Piedmont-Triad,06-10,Y,D,44,39.6,62.2,Not Met,-3.56,F,36,31.5,53.7,Not Met,-7.77
Forsyth County Schools,340488,J F Kennedy High,Piedmont-Triad,06-12,Y,F,34,24.0,73.5,Met,-1.30,F,18,<5,73.7,Met,-1.25
Forsyth County Schools,340490,Petree Elementary,Piedmont-Triad,PK-05,Y,F,27,13.7,82.5,Met,1.01,F,30,16.8,83.4,Met,1.38
Forsyth County Schools,340492,Philo-Hill Magnet Academy,Piedmont-Triad,06-08,Y,F,24,11.6,74.0,Met,-1.20,F,19,9.4,59.3,Not Met,-4.40
Forsyth County Schools,340494,Piney Grove Elementary,Piedmont-Triad,PK-05,,C,62,56.9,81.4,Met,0.57,C,65,61.1,82.4,Met,0.98
Forsyth County Schools,340504,Rural Hall Elementary,Piedmont-Triad,PK-05,Y,D,48,39.1,82.7,Met,1.11,D,50,40.2,86.8,Exceeded,2.73
Forsyth County Schools,340508,Sedge Garden Elementary,Piedmont-Triad,PK-05,,D,52,47.2,71.3,Met,-1.73,C,64,56.2,94.6,Exceeded,6.80
Forsyth County Schools,340512,Sherwood Forest Elementary,Piedmont-Triad,PK-05,,B,76,74.0,84.8,Met,1.94,B,80,82.0,74.1,Met,-1.18
Forsyth County Schools,340514,Smith Farm Elementary,Piedmont-Triad,PK-05,Y,F,33,23.0,75.3,Met,-0.93,D,41,29.9,84.5,Met,1.82
Forsyth County Schools,340516,Southeast Middle,Piedmont-Triad,06-08,Y,F,32,25.0,59.3,Not Met,-4.39,F,35,26.9,67.7,Not Met,-2.46
Forsyth County Schools,340520,South Fork Elementary,Piedmont-Triad,PK-05,Y,F,30,19.8,69.5,Not Met,-2.10,D,40,27.4,90.1,Exceeded,4.09
Forsyth County Schools,340528,Southwest Elementary,Piedmont-Triad,PK-05,,B,82,81.1,86.1,Exceeded,2.46,A,85,84.5,86.9,Exceeded,2.76
Forsyth County Schools,340530,Speas Elementary,Piedmont-Triad,PK-05,Y,D,46,38.8,74.2,Met,-1.15,D,49,40.3,81.5,Met,0.63
Forsyth County Schools,340532,Union Cross Traditional Acad,Piedmont-Triad,PK-05,Y,D,40,32.7,70.2,Met,-1.95,D,41,30.8,81.3,Met,0.53
Forsyth County Schools,340536,Vienna Elementary,Piedmont-Triad,PK-05,,B,72,69.3,83.1,Met,1.24,B,79,77.3,84.7,Met,1.91
Forsyth County Schools,340540,Walkertown Elementary,Piedmont-Triad,PK-05,Y,D,40,30.7,75.0,Met,-0.99,D,40,28.7,83.3,Met,1.35
Forsyth County Schools,340544,Walkertown Middle,Piedmont-Triad,06-08,Y,F,39,28.5,78.9,Met,-0.21,D,42,29.3,91.6,Exceeded,4.96
Forsyth County Schools,340548,Ward Elementary,Piedmont-Triad,PK-05,Y,D,40,31.9,70.9,Met,-1.81,F,39,31.7,70.0,Met,-1.99
Forsyth County Schools,340560,Whitaker Elementary,Piedmont-Triad,PK-05,,B,71,70.3,76.2,Met,-0.76,B,77,73.8,90.0,Exceeded,4.00
Forsyth County Schools,340564,Wiley Magnet Middle,Piedmont-Triad,06-08,Y,D,47,41.0,69.9,Not Met,-2.02,D,41,35.2,61.8,Not Met,-3.63
Forsyth County Schools,340568,Winston-Salem Preparatory Acad,Piedmont-Triad,06-12,Y,F,27,12.9,85.1,Exceeded,2.05,F,17,5.6,63.5,Not Met,-3.29
Franklin County Schools,350304,Bunn Elementary,North Central,PK-05,Y,D,44,36.7,74.6,Met,-1.07,C,61,54.3,86.6,Exceeded,2.67
Franklin County Schools,350310,Bunn Middle,North Central,06-08,Y,D,49,40.4,83.0,Met,1.23,D,45,36.0,79.1,Met,-0.17
Franklin County Schools,350312,Cedar Creek Middle,North Central,06-08,Y,C,56,48.0,87.1,Exceeded,2.84,D,53,44.4,86.1,Exceeded,2.46
Franklin County Schools,350316,Edward Best Elementary,North Central,PK-05,Y,C,60,52.9,88.6,Exceeded,3.45,B,72,66.9,94.0,Exceeded,6.42
Franklin County Schools,350318,Franklinton Elementary,North Central,PK-05,Y,D,48,39.8,80.8,Met,0.34,C,61,52.5,93.8,Exceeded,6.28
Franklin County Schools,350324,Franklinton Middle,North Central,06-08,Y,D,41,31.3,78.3,Met,-0.33,F,27,18.8,58.8,Not Met,-4.70
Franklin County Schools,350330,Laurel Mill Elementary,North Central,PK-05,Y,D,45,35.5,82.8,Met,1.12,C,58,52.2,83.4,Met,1.37
Franklin County Schools,350331,Long Mill Elementary,North Central,PK-05,Y,C,55,49.5,76.6,Met,-0.68,C,63,56.9,85.7,Exceeded,2.28
Franklin County Schools,350332,Louisburg Elementary,North Central,PK-05,Y,D,46,35.7,88.8,Exceeded,3.54,D,53,44.1,86.6,Exceeded,2.67
Franklin County Schools,350338,Terrell Lane Middle,North Central,06-08,Y,C,55,46.3,90.1,Exceeded,4.09,D,46,37.3,82.0,Met,0.80
Franklin County Schools,350339,Royal Elementary,North Central,PK-05,Y,D,40,31.4,75.3,Met,-0.94,C,55,44.8,93.8,Exceeded,6.32
Franklin County Schools,350340,Youngsville Elementary,North Central,0K-05,Y,C,64,58.7,85.6,Exceeded,2.27,C,65,62.5,73.3,Met,-1.34
Gaston County Schools,360320,Belmont Central Elementary,Southwest,02-05,,C,69,66.7,75.8,Met,-0.83,B,74,74.8,72.9,Met,-1.41
Gaston County Schools,360324,Belmont Middle,Southwest,06-08,,C,62,58.0,75.7,Met,-0.86,C,62,59.8,68.7,Not Met,-2.25
Gaston County Schools,360332,Bessemer City Central Elem,Southwest,03-05,Y,D,41,31.7,80.6,Met,0.25,F,38,30.4,68.5,Not Met,-2.30
Gaston County Schools,360339,W B Beam Intermediate School,Southwest,04-05,Y,C,58,52.0,80.2,Met,0.11,D,52,49.5,59.5,Not Met,-4.26
Gaston County Schools,360340,Brookside Elementary,Southwest,PK-05,Y,D,49,39.1,86.4,Exceeded,2.59,D,51,42.3,84.2,Met,1.68
Gaston County Schools,360344,Carr Elementary,Southwest,PK-05,Y,D,43,34.0,77.0,Met,-0.59,D,54,51.1,67.1,Not Met,-2.57
Gaston County Schools,360348,Catawba Heights Elementary,Southwest,PK-05,Y,D,52,47.1,72.0,Met,-1.60,C,61,55.8,80.3,Met,0.15
Gaston County Schools,360352,Chapel Grove Elementary,Southwest,PK-05,Y,D,47,41.2,70.5,Met,-1.89,D,43,37.3,67.3,Not Met,-2.53
Gaston County Schools,360364,Cherryville Elementary,Southwest,PK-03,Y,C,57,50.5,84.1,Met,1.66,B,82,82.4,,,
Gaston County Schools,360376,Costner Elementary,Southwest,PK-05,Y,D,52,45.2,79.8,Met,-0.03,D,53,50.8,61.5,Not Met,-3.70
