year,agency_code,career_cluster
2019,050302,TRAN
2019,050305,AGNR
2019,050305,CD
2019,050305,STEM
2019,761304,AAVC
2019,761304,AGNR
2019,761304,ARCH
2019,761304,BMA
2019,761304,EDUC
2019,761304,FINA
2019,761304,HLTH
2019,761304,HOSP
2019,761304,HUMA
2019,761304,INFO
2019,761304,LAW
2019,761304,MANU
2019,761304,MRKT
2019,761304,STEM
2019,761304,TRAN
2019,111302,AAVC
2019,111302,AGNR
2019,111302,ARCH
2019,111302,BMA
2019,111302,EDUC
2019,111302,FINA
2019,111302,HLTH
2019,111302,HOSP
2019,111302,HUMA
2019,111302,INFO
2019,111302,LAW
2019,111302,MANU
2019,111302,MRKT
2019,111302,STEM
2019,111302,TRAN
2019,111356,AAVC
2019,111356,CD
2019,111356,EDUC
2019,111356,HUMA
2019,111356,STEM
2019,770342,BMA
2019,770342,FINA
2019,770342,MANU
2019,770342,MRKT
2019,600311,CD
2019,600311,STEM
2019,920318,AAVC
2019,920318,AGNR
2019,920318,ARCH
2019,920318,BMA
2019,920318,EDUC
2019,920318,FINA
2019,920318,HLTH
2019,920318,HOSP
2019,920318,HUMA
2019,920318,INFO
2019,920318,LAW
2019,920318,MANU
2019,920318,MRKT
2019,920318,STEM
2019,920318,TRAN
2019,340311,AAVC
2019,340311,AGNR
2019,340311,ARCH
2019,340311,BMA
2019,340311,EDUC
2019,340311,FINA
2019,340311,HLTH
2019,340311,HOSP
2019,340311,HUMA
2019,340311,INFO
2019,340311,LAW
2019,340311,MANU
2019,340311,MRKT
2019,340311,STEM
2019,340311,TRAN
2019,060302,AAVC
2019,060302,AGNR
2019,060302,ARCH
2019,060302,BMA
2019,060302,EDUC
2019,060302,FINA
2019,060302,HLTH
2019,060302,HOSP
2019,060302,HUMA
2019,060302,INFO
2019,060302,LAW
2019,060302,MANU
2019,060302,MRKT
2019,060302,STEM
2019,060302,TRAN
2019,060318,AGNR
2019,060318,BMA
2019,060318,FINA
2019,060318,HOSP
2019,060318,INFO
2019,060318,MRKT
2019,060318,STEM
2019,740308,CD
2019,740308,INFO
2019,740308,STEM
2019,740309,AGNR
2019,740309,ARCH
2019,740309,BMA
2019,740309,FINA
2019,740309,HLTH
2019,740309,HOSP
2019,740309,HUMA
2019,740309,INFO
2019,740309,LAW
2019,740309,MANU
2019,740309,MRKT
2019,740309,TRAN
2019,070310,AGNR
2019,070310,ARCH
2019,070310,BMA
2019,070310,FINA
2019,070310,HOSP
2019,070310,HUMA
2019,310304,CD
2019,310304,INFO
2019,310304,STEM
2019,600313,BMA
2019,600313,CD
2019,600313,FINA
2019,600313,HOSP
2019,600313,INFO
2019,600313,MRKT
2019,600313,STEM
2019,180308,AAVC
2019,180308,AGNR
2019,180308,ARCH
2019,180308,BMA
2019,180308,EDUC
2019,180308,FINA
2019,180308,HLTH
2019,180308,HOSP
2019,180308,HUMA
2019,180308,INFO
2019,180308,LAW
2019,180308,MANU
2019,180308,MRKT
2019,180308,STEM
2019,180308,TRAN
2019,170316,AAVC
2019,170316,AGNR
2019,170316,ARCH
2019,170316,BMA
2019,170316,EDUC
2019,170316,FINA
2019,170316,HLTH
2019,170316,HOSP
2019,170316,HUMA
2019,170316,INFO
2019,170316,LAW
2019,170316,MANU
2019,170316,MRKT
2019,170316,STEM
2019,170316,TRAN
2019,070308,CD
2019,070308,INFO
2019,070311,ARCH
2019,070311,BMA
2019,070311,EDUC
2019,070311,FINA
2019,070311,HLTH
2019,070311,HUMA
2019,070311,INFO
2019,070311,LAW
2019,070311,MANU
2019,070311,MRKT
2019,070311,STEM
2019,070311,TRAN
2019,160310,STEM
2019,980318,AAVC
2019,980318,AGNR
2019,980318,ARCH
2019,980318,BMA
2019,980318,EDUC
2019,980318,FINA
2019,980318,HLTH
2019,980318,HOSP
2019,980318,HUMA
2019,980318,INFO
2019,980318,LAW
2019,980318,MANU
2019,980318,MRKT
2019,980318,STEM
2019,980318,TRAN
2019,360324,BMA
2019,360324,FINA
2019,360324,HOSP
2019,360324,INFO
2019,360324,MRKT
2019,410544,AAVC
2019,410544,AGNR
2019,410544,ARCH
2019,410544,BMA
2019,410544,FINA
2019,410544,HOSP
2019,410544,HUMA
2019,410544,INFO
2019,410544,MANU
2019,410544,MRKT
2019,410544,TRAN
2019,190304,INFO
2019,510310,AGNR
2019,510310,INFO
2019,510310,STEM
2019,600319,BMA
2019,600319,CD
2019,600319,FINA
2019,600319,HOSP
2019,600319,INFO
2019,600319,MRKT
2019,080311,AGNR
2019,080311,BMA
2019,080311,FINA
2019,080311,HLTH
2019,080311,INFO
2019,080311,MANU
2019,080311,MRKT
2019,080312,AAVC
2019,080312,AGNR
